station_name,lat,lng
Broadway & Barry Ave,41.93758231600629,-87.6440978050232
Franklin St & Monroe St,41.879185,-87.63561866666667
Michigan Ave & Jackson Blvd,41.87785,-87.62408
Calumet Ave & 18th St,41.857624054,-87.619433761
Loomis St & Lexington St,41.872187,-87.661501
Southport Ave & Clybourn Ave,41.920771,-87.663712
LaSalle St & Jackson Blvd,41.878166,-87.631929
Adler Planetarium,41.866095,-87.607267
Seeley Ave & Roscoe St,41.94333,-87.67967533333334
Lincoln Park Conservatory,41.92393131136619,-87.63582453131676
Montrose Harbor,41.963982,-87.638181
Theater on the Lake,41.926277,-87.630834
Winthrop Ave & Lawrence Ave,41.968881333333336,-87.657706
Sheridan Rd & Lawrence Ave,41.969490666666665,-87.65468116666666
Lincoln Ave & Belmont Ave,41.939536833333335,-87.66830766666666
California Ave & Cortez St,41.90035983333333,-87.69671966666667
Sangamon St & Washington Blvd,41.883165,-87.6511
St. Clair St & Erie St,41.8943455,-87.62286166666667
Glenwood Ave & Morse Ave,42.007992864,-87.665484071
Halsted St & Willow St,41.9138635,-87.64870133333334
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072
Damen Ave & Chicago Ave,41.895769,-87.67722
Pine Grove Ave & Irving Park Rd,41.954405785,-87.648068428
Pulaski Rd & Lake St,41.885409,-87.726491
Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258
Stetson Ave & South Water St,41.886835,-87.62232
Michigan Ave & Lake St,41.886024,-87.624117
Wells St & Concord Ln,41.912133,-87.634656
Ashland Ave & Lake St,41.88592,-87.66717
Pine Grove Ave & Waveland Ave,41.94947274088333,-87.64645278453827
Greenview Ave & Jarvis Ave,42.015962,-87.66857
Warren Park East,42.00454962194,-87.6806661451
Damen Ave & Grand Ave,41.891264346481535,-87.676842212677
Richmond St & Diversey Ave,41.93190196886,-87.7011951301
Sedgwick St & North Ave,41.911386,-87.638677
Wabash Ave & 9th St,41.870769,-87.625734
Ada St & Washington Blvd,41.882879,-87.6612215
Indiana Ave & 31st St,41.838842,-87.621857
Western Blvd & 48th Pl,41.80570616666667,-87.68341
Paulina St & Montrose Ave,41.961507,-87.671387
Western Ave & Congress Pkwy,41.874601841,-87.686299562
Clark St & Grace St,41.95091266666667,-87.65913383333333
Racine Ave & 18th St,41.858166,-87.656495
Spaulding Ave & Armitage Ave,41.91710803478932,-87.71022096276283
Talman Ave & Addison St,41.946667552,-87.694584131
Clark St & 9th St (AMLI),41.870816,-87.631246
Green St & Randolph St,41.88318130597391,-87.64872461557388
Wells St & Huron St,41.894771,-87.63438733333334
Throop St & Taylor St,41.868968,-87.659141
Field Blvd & South Water St,41.88577966666666,-87.61723066666667
Desplaines St & Jackson Blvd,41.87809033333333,-87.64419666666667
Sheffield Ave & Willow St,41.91384983333333,-87.65294533333334
Larrabee St & Division St,41.903486,-87.643353
Clark St & Elm St,41.902973,-87.63128
Damen Ave & Thomas St (Augusta Blvd),41.90126133,-87.677509665
Wilton Ave & Belmont Ave,41.940051,-87.65293033333333
Larrabee St & Kingsbury St,41.89763233333333,-87.64338816666667
Shore Dr & 55th St,41.795212,-87.580715
Marine Dr & Ainslie St,41.9716,-87.650154
Paulina Ave & North Ave,41.90985465216731,-87.66993016004562
Kedzie Ave & Chicago Ave,41.895489335,-87.706148148
Elizabeth (May) St & Fulton St,41.88656266666667,-87.658464
Manor Ave & Leland Ave,41.965875,-87.700825
Racine Ave & Wrightwood Ave,41.928887,-87.658971
Ashland Ave & 13th St,41.865234,-87.666507
Milwaukee Ave & Wabansia Ave,41.9126325,-87.68147733333333
Morgan St & 18th St,41.858086,-87.651073
Burnham Harbor,41.856268,-87.613348
Damen Ave & Cortland St,41.9159495,-87.67738
Broadway & Berwyn Ave,41.978353,-87.659753
Larrabee St & Oak St,41.90025466666667,-87.64300033333333
Southport Ave & Belmont Ave,41.93947775040509,-87.6637476682663
Lakefront Trail & Wilson Ave,41.965845,-87.645361
Halsted St & Dickens Ave,41.92015583333333,-87.6487945
State St & Chicago Ave,41.89661720040753,-87.62857854366302
May St & Cullerton St,41.855136,-87.654127
Southport Ave & Clark St,41.957081,-87.664199
Halsted St & North Branch St,41.899331333333336,-87.6485665
Larrabee St & North Ave,41.910213113,-87.643490434
Clark St & Chicago Ave,41.8965635,-87.63095333333334
McClurg Ct & Ohio St,41.892592119709725,-87.61728912591934
MLK Jr Dr & 29th St,41.842052,-87.617
Rhodes Ave & 32nd St,41.836762666666665,-87.6133705
Racine Ave & Belmont Ave,41.93973166666667,-87.65885983333334
Clinton St & 18th St,41.85795,-87.640826
Campbell Ave & North Ave,41.910535,-87.689556
Nordica & Medill,41.92,-87.8
Broadway & Wilson - Truman College Vaccination Site,41.965221,-87.658139
W Armitage Ave & N Sheffield Ave,41.92,-87.65
Lincoln Ave & Diversey Pkwy,41.932185833333335,-87.6586185
Burling St & Diversey Pkwy,41.93314,-87.64776
Hoyne Ave & 47th St,41.808217166666665,-87.67718366666666
Hermitage Ave & Polk St,41.87150016666666,-87.6700125
Halsted St & 21st St,41.85377981072743,-87.6466029882431
Kimbark Ave & 53rd St,41.799568,-87.594747
Damen Ave & Clybourn Ave,41.93182733333333,-87.6777705
Wentworth Ave & Cermak Rd,41.85308455741279,-87.63193130493164
Sheffield Ave & Webster Ave,41.92174,-87.65384866666666
Clark St & Leland Ave,41.967096,-87.667429
St Louis Ave & 59th St,41.79,-87.71
Hoyne Ave & Balmoral Ave,41.97985216666667,-87.68196866666666
Sheffield Ave & Fullerton Ave,41.9256018819,-87.6537080423
Mies van der Rohe Way & Chicago Ave,41.896944626370825,-87.62175768613815
Christiana Ave & Lawrence Ave,41.96835449363,-87.7118306675
Ashland Ave & Wrightwood Ave,41.92887733333333,-87.66853633333334
Michigan Ave & Madison St,41.882134,-87.625125
Clark St & Armitage Ave,41.918306,-87.636282
Larrabee St & Menomonee St,41.91468,-87.64332
Damen Ave & Division St,41.9033025,-87.67860366666666
Damen Ave & Charleston St,41.920078833333335,-87.67793133333333
May St & Taylor St,41.8694821,-87.6554864
LaSalle St & Illinois St,41.890762,-87.631697
Stave St & Armitage Ave,41.917757,-87.69144033333333
Southport Ave & Roscoe St,41.943739,-87.66402
Honore St & Division St,41.903119,-87.673935
Winchester (Ravenswood) Ave & Balmoral Ave,41.97977531,-87.677483559
Clark St & Bryn Mawr Ave,41.983593,-87.669154
Leavitt St & Chicago Ave,41.8955005,-87.681989
Clark St & Schiller St,41.9080915,-87.6315355
Michigan Ave & Oak St,41.9008708,-87.623685956
State St & 33rd St,41.834734,-87.625813
Western Ave & Roscoe St,41.942999363,-87.68728137
Indiana Ave & 26th St,41.845687,-87.622481
Ravenswood Ave & Irving Park Rd,41.95469,-87.67393
Larrabee St & Webster Ave,41.921822,-87.64414
Western Ave & Gunnison St,41.97,-87.69
Sheridan Rd & Buena Ave,41.958494,-87.654966
Ravenswood Ave & Lawrence Ave,41.96909,-87.674237
Leavitt St & North Ave,41.91022233333333,-87.68232216666667
DuSable Lake Shore Dr & Wellington Ave,41.9367135,-87.636847
Ellis Ave & 60th St,41.78509714636,-87.6010727606
North Ave & New England Ave,41.91,-87.8
Larrabee St & Armitage Ave,41.918084,-87.643749
Clifton Ave & Armitage Ave,41.91812916666667,-87.65704833333334
Racine Ave & Fullerton Ave,41.92556258,-87.65840426
Wacker Dr & Washington St,41.883501,-87.63743283333334
Western Ave & Division St,41.902893,-87.687275
Kingsbury St & Erie St,41.89380805624359,-87.64169722795485
Albany Ave & Bloomingdale Ave,41.913977,-87.70515833333333
Clark St & Drummond Pl,41.931214,-87.64428033333333
Western Ave & Fillmore St,41.868626237,-87.686233401
Clark St & Wellington Ave,41.9364968219,-87.6475386582
Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536
900 W Harrison St,41.874779105,-87.649842381
Wood St & Milwaukee Ave,41.907655,-87.672552
Clark St & Lincoln Ave,41.915689,-87.6346
State St & 35th St,41.8310363140161,-87.62679755687714
Smith Park,41.892083406,-87.689415336
Clinton St & Washington Blvd,41.88338,-87.64117
Wolcott (Ravenswood) Ave & Montrose Ave,41.961406,-87.676169
Broadway & Granville Ave,41.9947796884,-87.6602845349
Lincoln Ave & Roscoe St,41.94377883333333,-87.67117833333333
Racine Ave & Washington Blvd,41.883093333333335,-87.657034
Greenview Ave & Fullerton Ave,41.92544566666667,-87.6658245
Kedzie Ave & 48th Pl,41.8,-87.7
Canal St & Jackson Blvd,41.876867294,-87.639620185
Central Park Ave & Elbridge Ave,41.93533728263,-87.7168892935
Ellis Ave & 53rd St,41.79933626261,-87.6009581145
Sedgwick St & Webster Ave,41.92220916666667,-87.63901
Greenview Ave & Diversey Pkwy,41.93269383333333,-87.66599
Lincoln Ave & Sunnyside Ave,41.963004,-87.684781
Damen Ave & Melrose Ave,41.9406,-87.6785
Clark St & Elmdale Ave,41.99086044812557,-87.66972362995148
Damen Ave & Madison St,41.88142316666666,-87.67497666666667
Rockwell St & Fletcher St,41.94,-87.69
Rockwell St & Eastwood Ave,41.96585983333333,-87.69364883333333
Princeton Ave & 47th St,41.8092915,-87.63346883333334
Kilbourn Ave & Milwaukee Ave,41.947037578,-87.739938855
Broadway & Belmont Ave,41.94012433333333,-87.64554416666667
Central St & Girard Ave,42.064313,-87.686152
Leavitt St & Division St,41.902997,-87.683825
Desplaines St & Randolph St,41.884579,-87.6443845
Central Park Ave & Bloomingdale Ave,41.9141515,-87.71673633333333
Michigan Ave & Ida B Wells Dr,41.87602783333333,-87.6243165
Morgan St & Polk St,41.871737,-87.65103
Kilbourn Ave & Irving Park Rd,41.953733,-87.740569
Sedgwick St & Schiller St,41.907695333333336,-87.63856533333333
Spaulding Ave & Division St,41.902740955,-87.709333181
Wentworth Ave & 33rd St,41.83452988563,-87.6318229814
Leavitt St & Armitage Ave,41.917805,-87.682437
Wood St & Augusta Blvd,41.899181,-87.6722
Michigan Ave & Pearson St,41.89754355,-87.623603463
Sheffield Ave & Kingsbury St,41.910522,-87.653106
Lincoln Ave & Belle Plaine Ave,41.95605433333333,-87.68028933333333
State St & Van Buren St,41.877181,-87.627844
Damen Ave & Sunnyside Ave,41.96326666666667,-87.67929616666666
Wabash Ave & Cermak Rd,41.852619,-87.626488
Blue Island Ave & 18th St,41.857556,-87.661535
Western Ave & Walton St,41.89841768945,-87.6865960164
Chicago Ave & Washington St,42.032562,-87.679101
Ashland Ave & Augusta Blvd,41.899609833333336,-87.6684195
Avondale Ave & Irving Park Rd,41.95337783333333,-87.73208283333334
Damen Ave & Pershing Rd,41.823192,-87.676597
Paulina St & Howard St,42.019159,-87.673573
Rush St & Hubbard St,41.890173,-87.626185
Eckhart Park,41.89637337,-87.66098386
Noble St & Milwaukee Ave,41.90068,-87.6626
Milwaukee Ave & Cuyler Ave,41.9544705,-87.7495245
Clybourn Ave & Division St,41.904613,-87.640552
Walsh Park,41.91461,-87.667968
Monticello Ave & Irving Park Rd,41.953988791,-87.718927979
LaSalle St & Washington St,41.882664,-87.63253
Federal St & Polk St,41.87207763285,-87.6295437729
Damen Ave & Foster Ave,41.97561480459,-87.6794590387
Calumet Ave & 33rd St,41.8349,-87.61793
Loomis St & Jackson Blvd,41.877881765,-87.661969662
Dearborn St & Adams St,41.878987,-87.6300435
Wabash Ave & Adams St,41.87947235235,-87.6256886059
Ashland Ave & Belle Plaine Ave,41.95609533333333,-87.66895283333334
Leavitt St & Addison St,41.9465835,-87.68338033333333
Kedzie Ave & Lake St,41.88460328501,-87.7063037436
Elston Ave & Cortland St,41.91643342912655,-87.66674637794495
Rush St & Cedar St,41.90230870122,-87.627690528
Albany Ave & Montrose Ave,41.961041,-87.705866
Columbus Dr & Randolph St,41.884728,-87.619521
Sheridan Rd & Columbia Ave,42.004583,-87.66149783333333
California Ave & Francis Pl (Temp),41.91849115368695,-87.69742280244827
Harlem & Irving Park,41.95,-87.81
Ogden Ave & Race Ave,41.891795,-87.658751
Wood St & Taylor St (Temp),41.869265218438194,-87.67373085021973
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743
Damen Ave & Leland Ave,41.967094,-87.679028
Southport Ave & Waveland Ave,41.94804833333333,-87.66419066666667
Ashland Ave & Grace St,41.9506475,-87.66867166666667
Clark St & Lunt Ave,42.009102166666665,-87.67414433333333
Broadway & Argyle St,41.973815,-87.65966
Greenwood Ave & 47th St,41.809835,-87.599383
Halsted St & 47th Pl,41.808215141,-87.645618558
Ravenswood Ave & Berteau Ave,41.95793879,-87.673596978
Knox Ave & Montrose Ave,41.960650802,-87.745417833
Chicago Ave & Sheridan Rd,42.050491,-87.677821
State St & Pearson St,41.897448,-87.628722
California Ave & Altgeld St,41.9266475,-87.69766083333333
Fairfield Ave & Roosevelt Rd,41.86662883333333,-87.6945085
Damen Ave & Wabansia Ave,41.91,-87.68
Clark St & Columbia Ave,42.00445062934,-87.6724024047
Kedzie Ave & Leland Ave,41.96668636205,-87.7080519806
Central Park Ave & North Ave,41.90965687563,-87.7166319516
Ogden Ave & Congress Pkwy,41.87501,-87.67328
Budlong Woods Library,41.98366470886,-87.6964225611
Ritchie Ct & Banks St,41.906866,-87.626217
Maplewood Ave & 59th St,41.79,-87.69
Ridge Blvd & Howard St,42.019276,-87.68452
Ashland Ave & Wellington Ave,41.936108833333336,-87.66996916666666
University Ave & 57th St,41.791478,-87.599861
Wolcott Ave & Polk St,41.871262,-87.673688
Halsted St & 78th St,41.75248701249013,-87.6439021574879
Lake Park Ave & 56th St,41.793242,-87.587782
DuSable Museum,41.7914935,-87.60783966666666
State St & Harrison St,41.874053,-87.627716
Wabash Ave & 16th St,41.860384,-87.625813
California Ave & Lake St,41.88445395657,-87.6962981368
Western Ave & Howard St,42.01900833333333,-87.689989
Calumet Ave & 35th St,41.831379,-87.618034
Lake Park Ave & 53rd St,41.79949429373,-87.5864498959
Central St Metra,42.063862666666665,-87.698667
Paulina St & Flournoy St,41.87307416666667,-87.66907266666666
Glenwood Ave & Touhy Ave,42.0128005,-87.665906
Clinton St & Roosevelt Rd,41.8671177825,-87.6410879593
Fort Dearborn Dr & 31st St,41.838556,-87.608218
Artesian Ave & Hubbard St,41.889500737,-87.688108683
Dorchester Ave & 49th St,41.805772,-87.592464
Benson Ave & Church St,42.048214,-87.683485
Shields Ave & 28th Pl,41.842733,-87.635491
2112 W Peterson Ave,41.991175,-87.68363216666667
Morgan St & 31st St,41.83779833333333,-87.65123233333334
Logan Blvd & Elston Ave,41.929481333333335,-87.68418466666667
Lake Park Ave & 35th St,41.83127423549,-87.6087991946
Conservatory Dr & Lake St,41.885502,-87.716866
Western Ave & Granville Ave,41.99416136902,-87.689438282
Southport Ave & Irving Park Rd,41.954177,-87.664358
Damen Ave & Walnut (Lake) St,41.885951,-87.677009
MLK Jr Dr & Pershing Rd,41.8246,-87.61678
Morgan Ave & 14th Pl,41.862378,-87.651062
Bosworth Ave & Howard St,42.019537,-87.669563
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848
Field Museum,41.865312,-87.617867
Cottage Grove Ave & 51st St,41.803038,-87.606615
Kedzie Ave & Bryn Mawr Ave,41.98222975911517,-87.70888656377792
Financial Pl & Ida B Wells Dr,41.8750236280333,-87.6330940425396
N Green St & W Lake St,41.89,-87.65
Evanston Civic Center,42.057044,-87.686554
Ogden Ave & Chicago Ave,41.896362458,-87.6540612729
Central Ave & Harrison St,41.872993,-87.764499
Damen Ave & Wellington Ave,41.93588,-87.67842
Canal St & Madison St,41.882091,-87.639833
Laramie Ave & Madison St,41.88022383333333,-87.755429
Ellis Ave & 55th St,41.79430062054,-87.6014497734
Leavitt St & Archer Ave,41.82879201994,-87.6806044594
Wood St & 35th St,41.83017783333333,-87.67033916666666
Franklin St & Adams St (Temp),41.87876883333333,-87.63592683333333
Francisco Ave & Montrose Ave,41.96,-87.7
Kedzie Ave & Palmer Ct,41.921525,-87.707322
Sheridan Rd & Loyola Ave,42.00104377979,-87.6611982433
Wentworth Ave & 63rd St,41.78007963264,-87.6297463052
Elston Ave & George St,41.93,-87.69
California Ave & Division St,41.903019667,-87.697478771
Woodlawn Ave & 55th St,41.795264,-87.596471
Milwaukee Ave & Fullerton Ave,41.92,-87.7
Halsted St & Roosevelt Rd,41.867324,-87.648625
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924
Eastlake Ter & Rogers Ave,42.0208872805206,-87.66505792737007
Halsted St & Polk St,41.87184,-87.64664
Western Ave & Lunt Ave,42.008597851,-87.690481067
Canal St & Adams St,41.879255,-87.639904
Normal Ave & Archer Ave,41.849527,-87.640591
Clark St & Schreiber Ave,41.99925182186,-87.6713773393
Valli Produce - Evanston Plaza,42.039742,-87.699413
Wentworth Ave & 35th St,41.830777,-87.632504
State St & 95th St,41.7218499,-87.6228544
Wallace St & 35th St,41.83101432992121,-87.64118358492851
State St & 79th St,41.750765,-87.6244385
Ellis Ave & 58th St,41.788746,-87.601334
California Ave & Fletcher St,41.93842879148,-87.698007756
Campbell Ave & Fullerton Ave,41.924686,-87.6893205
Wabash Ave & 83rd St,41.743328094,-87.622855067
Washtenaw Ave & Ogden Ave,41.86188383333333,-87.69354633333333
Cottage Grove Ave & Oakwood Blvd,41.8229985,-87.60711683333334
Halsted St & 35th St,41.8306815,-87.64702833333334
Troy St & Elston Ave,41.94524356848,-87.7066499009
California Ave & 21st St,41.85375916666667,-87.69578516666667
Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368
W Oakdale Ave & N Broadway,41.94,-87.64
Clark St & Berwyn Ave,41.97803062248656,-87.66856491565704
Aberdeen St & Randolph St,41.884114,-87.654264
Halsted St & Maxwell St,41.864876509,-87.647285223
Whipple/Irving Park,41.95,-87.7
Canal St & Taylor St,41.870257,-87.639474
Keystone Ave & Montrose Ave,41.96110801623,-87.7289701012
Delano Ct & Roosevelt Rd,41.867491,-87.63219
Hampden Ct & Diversey Ave,41.93,-87.64
Walden Pkwy & 100th St,41.712234333333335,-87.6677095
Rhodes Ave & 71st St,41.76596966666666,-87.61169766666667
Loomis St & Archer Ave,41.84166033333333,-87.65752133333334
Museum of Science and Industry,41.791728,-87.583945
Wells St & 19th St,41.856749,-87.63382966666667
Central Ave & Chicago Ave,41.894958,-87.764902
California Ave & 23rd Pl,41.849224166666666,-87.69506816666667
Central Ave & Lake St,41.887664,-87.765469
University Library (NU),42.052939,-87.673447
California Ave & Byron St,41.952163,-87.698078
Wolcott Ave & Fargo Ave,42.016952,-87.677648
Wood St & Hubbard St,41.88988183333333,-87.67157383333333
Halsted St & 18th St,41.857612333333336,-87.64615366666666
Ogden Ave & Roosevelt Rd,41.866506,-87.68448483333333
Troy St & North Ave,41.909835,-87.705322
Francisco Ave & Foster Ave,41.97564833333333,-87.70148016666667
Archer (Damen) Ave & 37th St,41.82673416666667,-87.68322083333334
Harper Ave & 59th St,41.78794281287,-87.5883151702
Kedzie Ave & 21st St,41.853556514,-87.705094218
Campbell Ave & Montrose Ave,41.96152593287,-87.6911650414
Racine Ave & Congress Pkwy,41.874612166666665,-87.657045
Torrence Ave & 126th Pl,41.66631200825726,-87.55721569061278
Sheridan Rd & Noyes St (NU),42.058239,-87.677432
St. Louis Ave & Balmoral Ave,41.98039423475,-87.7161149615
